HIRE_ID,START_DATE,END_DATE,EQUIPMENT_ID,QUANTITY,UNIT_HIRE_PRICE,TOTAL_HIRE_PRICE,CUSTOMER_ID,STAFF_ID
30001,2019-05-06,2019-05-09,7001,3,380,3420,5001,9001
30002,2019-07-02,2019-07-03,7013,1,675,675,5002,9002
30003,2020-10-14,2020-10-14,7002,1,200,100.0,5003,9001
30004,2018-06-11,2018-06-18,7005,1,2600,18200,5007,9007
30005,2018-12-03,2018-12-05,7006,2,220,880,5005,9005
30006,2019-01-20,2019-01-27,7008,1,180,1260,5006,9006
30007,2019-09-15,2019-09-16,7003,2,130,260,5008,9008
30008,2020-02-08,2020-02-08,7007,1,120,60.0,5009,9009
30009,2020-04-22,2020-04-29,7010,1,950,6650,5010,9003
30010,2020-07-30,2020-08-04,7004,1,300,1500,5011,9011
30011,2019-11-11,2019-11-14,7012,4,60,720,5001,9012
30012,2018-08-27,2018-08-30,7014,1,1200,3600,5004,9010
30013,2020-03-05,2020-03-12,7009,1,90,630,5012,9013
30014,2019-12-19,2019-12-23,7001,2,380,3040,5003,9015
