SALES_ID,SALES_DATE,EQUIPMENT_ID,QUANTITY,UNIT_SALES_PRICE,TOTAL_SALES_PRICE,CUSTOMER_ID,STAFF_ID
40001,2018-12-04,7005,2,65000,130000,5002,9002
40002,2019-02-15,7002,2,24000,48000,5001,9001
40003,2019-03-11,7011,1,5000,5000,5003,9003
40004,2019-06-20,7013,1,9500,9500,5005,9005
40005,2019-09-02,7007,1,9800,9800,5006,9006
40006,2020-01-18,7014,1,96000,96000,5007,9007
40007,2020-04-27,7011,1,120,120,5008,9008
40008,2020-07-09,7009,1,6200,6200,5009,9009
40009,2020-11-23,7012,1,3800,3800,5010,9003
40010,2018-10-15,7006,1,18500,18500,5011,9011
40011,2019-08-05,7003,1,4500,4500,5012,9013
40012,2020-05-30,7010,1,72000,72000,5004,9010
